County_Name,FIPS,Incidence,Mortality,Population_2010,UIC_2013,Description,State,Counts_Incidence,Counts_Mortality,state_c,RUCC_2013,descriptionRUCC
Adair County,29001,465.00000000000000,174.30000000000000,25607,8,Micropolitan not adjacent to a metro area,MO,118,46,0,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Andrew County,29003,426.70000000000000,166.50000000000000,17291,2,Small-in a metro area with fewer than 1 million residents,MO,95,38,0,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Atchison County,29005,391.80000000000000,206.10000000000000,5685,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",MO,33,19,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Audrain County,29007,467.40000000000000,184.80000000000000,25529,5,Micropolitan adjacent to a small metro area,MO,147,61,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Barry County,29009,354.50000000000000,170.00000000000000,35597,6,"Noncore adjacent to a small metro with town of at least 2,500 residents",MO,177,85,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Barton County,29011,421.60000000000000,174.80000000000000,12402,6,"Noncore adjacent to a small metro with town of at least 2,500 residents",MO,67,31,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Bates County,29013,445.90000000000000,205.20000000000000,17049,1,Large-in a metro area with at least 1 million residents or more,MO,99,48,0,1,Metro - Counties in metro areas of 1 million population or more
Benton County,29015,461.20000000000000,198.40000000000000,19056,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",MO,160,70,0,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Bollinger County,29017,440.40000000000000,191.00000000000000,12363,2,Small-in a metro area with fewer than 1 million residents,MO,71,31,0,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Boone County,29019,456.10000000000000,160.60000000000000,162642,2,Small-in a metro area with fewer than 1 million residents,MO,668,227,0,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Buchanan County,29021,484.20000000000000,200.90000000000000,89201,2,Small-in a metro area with fewer than 1 million residents,MO,486,206,0,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Butler County,29023,465.00000000000000,216.00000000000000,42794,8,Micropolitan not adjacent to a metro area,MO,263,125,0,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area"
Caldwell County,29025,493.60000000000000,201.70000000000000,9424,1,Large-in a metro area with at least 1 million residents or more,MO,61,26,0,1,Metro - Counties in metro areas of 1 million population or more
Callaway County,29027,459.70000000000000,174.10000000000000,44332,2,Small-in a metro area with fewer than 1 million residents,MO,230,84,0,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Camden County,29029,400.60000000000000,156.00000000000000,44002,9,"Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",MO,291,114,0,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Cape Girardeau County,29031,440.40000000000000,172.20000000000000,75674,2,Small-in a metro area with fewer than 1 million residents,MO,392,159,0,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Carroll County,29033,439.60000000000000,190.50000000000000,9295,4,Noncore adjacent to a large metro area,MO,57,27,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Carter County,29035,485.10000000000000,212.20000000000000,6265,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",MO,40,17,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
