FIPS,State,County_Name,Population_2010,RUCC_2013,Description
29001,MO,Adair County,"25,607",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29003,MO,Andrew County,"17,291",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29005,MO,Atchison County,"5,685",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29007,MO,Audrain County,"25,529",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29009,MO,Barry County,"35,597",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29011,MO,Barton County,"12,402",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29013,MO,Bates County,"17,049",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29015,MO,Benton County,"19,056",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29017,MO,Bollinger County,"12,363",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29019,MO,Boone County,"162,642",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29021,MO,Buchanan County,"89,201",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29023,MO,Butler County,"42,794",5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
29025,MO,Caldwell County,"9,424",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29027,MO,Callaway County,"44,332",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29029,MO,Camden County,"44,002",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29031,MO,Cape Girardeau County,"75,674",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29033,MO,Carroll County,"9,295",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29035,MO,Carter County,"6,265",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29037,MO,Cass County,"99,478",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29039,MO,Cedar County,"13,982",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29041,MO,Chariton County,"7,831",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29043,MO,Christian County,"77,422",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
29045,MO,Clark County,"7,139",9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
29047,MO,Clay County,"221,939",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29049,MO,Clinton County,"20,743",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29051,MO,Cole County,"75,990",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29053,MO,Cooper County,"17,601",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29055,MO,Crawford County,"24,696",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29057,MO,Dade County,"7,883",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
29059,MO,Dallas County,"16,777",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
29061,MO,Daviess County,"8,433",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
29063,MO,DeKalb County,"12,892",3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
29065,MO,Dent County,"15,657",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29067,MO,Douglas County,"13,684",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29069,MO,Dunklin County,"31,953",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29071,MO,Franklin County,"101,492",1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
29073,MO,Gasconade County,"15,222",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
29075,MO,Gentry County,"6,738",8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
29077,MO,Greene County,"275,174",2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
29079,MO,Grundy County,"10,261",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29081,MO,Harrison County,"8,957",7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
29083,MO,Henry County,"22,272",6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
